sigma,Modelo,Accuracy,Acc_std,F1-Macro,F1M_std,F1-Weighted,F1W_std
0.0,SVM (RBF),0.9404432132963989,0.0,0.8200922080552292,0.0,0.9404435465127796,0.0
0.0,Random Forest,0.9993074792243767,0.0,0.999095217034182,0.0,0.9993062190614692,0.0
0.05,SVM (RBF),0.938527239150508,0.001794179829346531,0.8186286791977069,0.007216979531449123,0.9387200770086912,0.0017972835524896534
0.05,Random Forest,0.9939519852262236,0.0014737663619125033,0.981410962970394,0.007024443275542088,0.9939293824327766,0.001481279291192224
0.1,SVM (RBF),0.9370498614958447,0.002140848948220059,0.8138849651426449,0.0099754369713126,0.9372625122322066,0.0020561296933152423
0.1,Random Forest,0.9848337950138504,0.0019939307546936154,0.9523299840079236,0.009366393090845658,0.9847812074538899,0.0020150102859553673
0.2,SVM (RBF),0.9269852262234534,0.0038586245641420444,0.7864148162245382,0.010613807747463273,0.927717285277321,0.0036783687618875097
0.2,Random Forest,0.9714912280701756,0.004313996212149299,0.9125797302639758,0.014492512153734812,0.9716759413845624,0.004188426166977352
